Token,InfluenceScore,RecallScore,Category,Type,OnScreenRender
border_1461,0.7735,0.3279,Peripheral,Tagged Variant,"Displays as: ""border_1461"""
agent294,0.7594,0.6144,Peripheral,Tagged Variant,"Displays as: ""agent294"""
ask_6978,0.8463,0.7043,High Influence,Tagged Variant,"Displays as: ""ask_6978"""
against_2023,0.854,0.6996,High Influence,Tagged Variant,"Displays as: ""against_2023"""
basis272,0.6181,0.5327,Peripheral,Tagged Variant,"Displays as: ""basis272"""
burn_3828,0.7498,0.5209,Peripheral,Tagged Variant,"Displays as: ""burn_3828"""
account_2815,0.8503,0.3746,High Influence,Tagged Variant,"Displays as: ""account_2815"""
better_3660,0.8013,0.5568,High Influence,Tagged Variant,"Displays as: ""better_3660"""
aware_2896,0.9426,0.3696,High Influence,Tagged Variant,"Displays as: ""aware_2896"""
between_5533,0.8635,0.8366,High Influence,Tagged Variant,"Displays as: ""between_5533"""
active_7770,0.6652,0.9764,High Recall,Tagged Variant,"Displays as: ""active_7770"""
aspect47,0.6282,0.9791,High Recall,Tagged Variant,"Displays as: ""aspect47"""
allow2,0.857,0.9055,High Influence,Tagged Variant,"Displays as: ""allow2"""
above189,0.6106,0.7206,Peripheral,Tagged Variant,"Displays as: ""above189"""
bill_9665,0.8343,0.7906,High Influence,Tagged Variant,"Displays as: ""bill_9665"""
actual963,0.9761,0.4996,High Influence,Tagged Variant,"Displays as: ""actual963"""
analysis372,0.8302,0.7415,High Influence,Tagged Variant,"Displays as: ""analysis372"""
attitude_1500,0.7553,0.619,Peripheral,Tagged Variant,"Displays as: ""attitude_1500"""
big111,0.8573,0.6374,High Influence,Tagged Variant,"Displays as: ""big111"""
capacity418,0.7833,0.8304,High Recall,Tagged Variant,"Displays as: ""capacity418"""
bit_8534,0.8182,0.4973,High Influence,Tagged Variant,"Displays as: ""bit_8534"""
both871,0.9766,0.5226,High Influence,Tagged Variant,"Displays as: ""both871"""
button503,0.7544,0.9472,High Recall,Tagged Variant,"Displays as: ""button503"""
across590,0.9845,0.3394,High Influence,Tagged Variant,"Displays as: ""across590"""
authority104,0.9621,0.6399,High Influence,Tagged Variant,"Displays as: ""authority104"""
account_9111,0.6783,0.939,High Recall,Tagged Variant,"Displays as: ""account_9111"""
big210,0.6277,0.7273,Peripheral,Tagged Variant,"Displays as: ""big210"""
beauty535,0.6403,0.6825,Peripheral,Tagged Variant,"Displays as: ""beauty535"""
become_1869,0.6073,0.4748,Peripheral,Tagged Variant,"Displays as: ""become_1869"""
affect497,0.6378,0.5403,Peripheral,Tagged Variant,"Displays as: ""affect497"""
beauty_8961,0.8732,0.8964,High Influence,Tagged Variant,"Displays as: ""beauty_8961"""
border_6188,0.6285,0.6915,Peripheral,Tagged Variant,"Displays as: ""border_6188"""
cancel453,0.7276,0.6603,Peripheral,Tagged Variant,"Displays as: ""cancel453"""
budget_5187,0.938,0.3697,High Influence,Tagged Variant,"Displays as: ""budget_5187"""
also_3657,0.6093,0.3112,Peripheral,Tagged Variant,"Displays as: ""also_3657"""
blue971,0.9258,0.9746,Core Anchor,Tagged Variant,"Displays as: ""blue971"""
again24,0.7127,0.5639,Peripheral,Tagged Variant,"Displays as: ""again24"""
care_6042,0.6473,0.7222,Peripheral,Tagged Variant,"Displays as: ""care_6042"""
agency_7628,0.8787,0.3558,High Influence,Tagged Variant,"Displays as: ""agency_7628"""
authority900,0.8516,0.7782,High Influence,Tagged Variant,"Displays as: ""authority900"""
anything475,0.951,0.9528,Core Anchor,Tagged Variant,"Displays as: ""anything475"""
between_4638,0.894,0.703,High Influence,Tagged Variant,"Displays as: ""between_4638"""
beat_3483,0.9214,0.3883,High Influence,Tagged Variant,"Displays as: ""beat_3483"""
already,0.7128,0.7072,Peripheral,Natural,"Displays as: ""already"""
better_8670,0.671,0.8364,High Recall,Tagged Variant,"Displays as: ""better_8670"""
capacity_6446,0.9002,0.5845,High Influence,Tagged Variant,"Displays as: ""capacity_6446"""
accept334,0.9227,0.9159,Core Anchor,Tagged Variant,"Displays as: ""accept334"""
capacity,0.9962,0.7541,High Influence,Natural,"Displays as: ""capacity"""
care_3014,0.765,0.9295,High Recall,Tagged Variant,"Displays as: ""care_3014"""
binary375,0.7488,0.7365,Peripheral,Tagged Variant,"Displays as: ""binary375"""
assume_3380,0.9106,0.3919,High Influence,Tagged Variant,"Displays as: ""assume_3380"""
action592,0.7363,0.5168,Peripheral,Tagged Variant,"Displays as: ""action592"""
bill514,0.9723,0.4413,High Influence,Tagged Variant,"Displays as: ""bill514"""
binary_2020,0.9434,0.9362,Core Anchor,Tagged Variant,"Displays as: ""binary_2020"""
accident149,0.7716,0.8323,High Recall,Tagged Variant,"Displays as: ""accident149"""
already_4603,0.9003,0.7735,High Influence,Tagged Variant,"Displays as: ""already_4603"""
approach,0.9018,0.5107,High Influence,Natural,"Displays as: ""approach"""
behavior837,0.6412,0.4288,Peripheral,Tagged Variant,"Displays as: ""behavior837"""
across_7619,0.961,0.8295,Core Anchor,Tagged Variant,"Displays as: ""across_7619"""
break755,0.8021,0.6319,High Influence,Tagged Variant,"Displays as: ""break755"""
add_5374,0.9306,0.4581,High Influence,Tagged Variant,"Displays as: ""add_5374"""
always950,0.728,0.7316,Peripheral,Tagged Variant,"Displays as: ""always950"""
big172,0.9582,0.3282,High Influence,Tagged Variant,"Displays as: ""big172"""
business913,0.7557,0.5283,Peripheral,Tagged Variant,"Displays as: ""business913"""
behavior812,0.6043,0.628,Peripheral,Tagged Variant,"Displays as: ""behavior812"""
bit_2524,0.9622,0.4036,High Influence,Tagged Variant,"Displays as: ""bit_2524"""
base_1460,0.6365,0.9893,High Recall,Tagged Variant,"Displays as: ""base_1460"""
between574,0.7277,0.4464,Peripheral,Tagged Variant,"Displays as: ""between574"""
behavior_8583,0.98,0.3912,High Influence,Tagged Variant,"Displays as: ""behavior_8583"""
access_6682,0.9802,0.4425,High Influence,Tagged Variant,"Displays as: ""access_6682"""
both_1332,0.8294,0.8383,High Influence,Tagged Variant,"Displays as: ""both_1332"""
answer_8068,0.8527,0.5979,High Influence,Tagged Variant,"Displays as: ""answer_8068"""
call264,0.7794,0.6958,Peripheral,Tagged Variant,"Displays as: ""call264"""
answer_1247,0.7173,0.3147,Peripheral,Tagged Variant,"Displays as: ""answer_1247"""
bill118,0.7315,0.3241,Peripheral,Tagged Variant,"Displays as: ""bill118"""
amount,0.869,0.6121,High Influence,Natural,"Displays as: ""amount"""
argue_9629,0.9009,0.8717,Core Anchor,Tagged Variant,"Displays as: ""argue_9629"""
animal49,0.9166,0.9197,Core Anchor,Tagged Variant,"Displays as: ""animal49"""
body_8208,0.9158,0.3607,High Influence,Tagged Variant,"Displays as: ""body_8208"""
buy734,0.6365,0.6769,Peripheral,Tagged Variant,"Displays as: ""buy734"""
base284,0.7978,0.9393,High Recall,Tagged Variant,"Displays as: ""base284"""
also812,0.623,0.5716,Peripheral,Tagged Variant,"Displays as: ""also812"""
area_9675,0.8198,0.8807,High Influence,Tagged Variant,"Displays as: ""area_9675"""
cancel495,0.7766,0.3936,Peripheral,Tagged Variant,"Displays as: ""cancel495"""
bad790,0.9551,0.9548,Core Anchor,Tagged Variant,"Displays as: ""bad790"""
binary_9873,0.7404,0.826,High Recall,Tagged Variant,"Displays as: ""binary_9873"""
capacity_3441,0.6468,0.9589,High Recall,Tagged Variant,"Displays as: ""capacity_3441"""
become_3143,0.6572,0.7736,Peripheral,Tagged Variant,"Displays as: ""become_3143"""
analysis49,0.9046,0.5544,High Influence,Tagged Variant,"Displays as: ""analysis49"""
ahead_7995,0.8473,0.9567,High Influence,Tagged Variant,"Displays as: ""ahead_7995"""
behavior,0.6404,0.4929,Peripheral,Natural,"Displays as: ""behavior"""
border_6704,0.6336,0.5325,Peripheral,Tagged Variant,"Displays as: ""border_6704"""
burn_3730,0.8804,0.7906,High Influence,Tagged Variant,"Displays as: ""burn_3730"""
carry123,0.6291,0.8357,High Recall,Tagged Variant,"Displays as: ""carry123"""
capital,0.9287,0.9506,Core Anchor,Natural,"Displays as: ""capital"""
also514,0.8825,0.4434,High Influence,Tagged Variant,"Displays as: ""also514"""
animal853,0.6325,0.8586,High Recall,Tagged Variant,"Displays as: ""animal853"""
bit724,0.6339,0.817,High Recall,Tagged Variant,"Displays as: ""bit724"""
admin158,0.9947,0.3447,High Influence,Tagged Variant,"Displays as: ""admin158"""
because3,0.7497,0.5711,Peripheral,Tagged Variant,"Displays as: ""because3"""
carry612,0.7483,0.4979,Peripheral,Tagged Variant,"Displays as: ""carry612"""
almost_4518,0.9251,0.5131,High Influence,Tagged Variant,"Displays as: ""almost_4518"""
answer_8300,0.9789,0.9881,Core Anchor,Tagged Variant,"Displays as: ""answer_8300"""
account_1984,0.9944,0.7499,High Influence,Tagged Variant,"Displays as: ""account_1984"""
agency524,0.9014,0.8024,Core Anchor,Tagged Variant,"Displays as: ""agency524"""
appear88,0.7505,0.9836,High Recall,Tagged Variant,"Displays as: ""appear88"""
admit_1243,0.6334,0.564,Peripheral,Tagged Variant,"Displays as: ""admit_1243"""
beyond748,0.9109,0.8613,Core Anchor,Tagged Variant,"Displays as: ""beyond748"""
beyond_1362,0.8234,0.6042,High Influence,Tagged Variant,"Displays as: ""beyond_1362"""
amount475,0.7697,0.9087,High Recall,Tagged Variant,"Displays as: ""amount475"""
binary_9272,0.9625,0.4265,High Influence,Tagged Variant,"Displays as: ""binary_9272"""
behind740,0.6445,0.9634,High Recall,Tagged Variant,"Displays as: ""behind740"""
amount_9610,0.7971,0.4531,Peripheral,Tagged Variant,"Displays as: ""amount_9610"""
balance204,0.6045,0.5284,Peripheral,Tagged Variant,"Displays as: ""balance204"""
accept_5396,0.7875,0.8293,High Recall,Tagged Variant,"Displays as: ""accept_5396"""
behind417,0.6225,0.5756,Peripheral,Tagged Variant,"Displays as: ""behind417"""
beyond677,0.6475,0.7257,Peripheral,Tagged Variant,"Displays as: ""beyond677"""
already117,0.647,0.6112,Peripheral,Tagged Variant,"Displays as: ""already117"""
boy,0.8597,0.8197,High Influence,Natural,"Displays as: ""boy"""
amount804,0.8984,0.4598,High Influence,Tagged Variant,"Displays as: ""amount804"""
buy791,0.8333,0.3409,High Influence,Tagged Variant,"Displays as: ""buy791"""
art_3380,0.9849,0.51,High Influence,Tagged Variant,"Displays as: ""art_3380"""
basis_7905,0.7499,0.632,Peripheral,Tagged Variant,"Displays as: ""basis_7905"""
above911,0.7143,0.4176,Peripheral,Tagged Variant,"Displays as: ""above911"""
behavior_6231,0.9474,0.5484,High Influence,Tagged Variant,"Displays as: ""behavior_6231"""
base_9865,0.6894,0.58,Peripheral,Tagged Variant,"Displays as: ""base_9865"""
bring_3530,0.9853,0.3402,High Influence,Tagged Variant,"Displays as: ""bring_3530"""
bill273,0.6049,0.7083,Peripheral,Tagged Variant,"Displays as: ""bill273"""
become563,0.988,0.919,Core Anchor,Tagged Variant,"Displays as: ""become563"""
both_5281,0.6173,0.4062,Peripheral,Tagged Variant,"Displays as: ""both_5281"""
case427,0.9565,0.7185,High Influence,Tagged Variant,"Displays as: ""case427"""
background_6056,0.8111,0.7653,High Influence,Tagged Variant,"Displays as: ""background_6056"""
background601,0.9972,0.5935,High Influence,Tagged Variant,"Displays as: ""background601"""
better_5069,0.6295,0.7908,Peripheral,Tagged Variant,"Displays as: ""better_5069"""
accident_4705,0.8215,0.5875,High Influence,Tagged Variant,"Displays as: ""accident_4705"""
and460,0.9877,0.6532,High Influence,Tagged Variant,"Displays as: ""and460"""
case666,0.8092,0.3051,High Influence,Tagged Variant,"Displays as: ""case666"""
box202,0.8518,0.7842,High Influence,Tagged Variant,"Displays as: ""box202"""
binary,0.8783,0.7629,High Influence,Natural,"Displays as: ""binary"""
both_9707,0.7818,0.3269,Peripheral,Tagged Variant,"Displays as: ""both_9707"""
account446,0.851,0.5578,High Influence,Tagged Variant,"Displays as: ""account446"""
bring_5415,0.8337,0.9853,High Influence,Tagged Variant,"Displays as: ""bring_5415"""
call647,0.9605,0.5945,High Influence,Tagged Variant,"Displays as: ""call647"""
border_4328,0.6182,0.6514,Peripheral,Tagged Variant,"Displays as: ""border_4328"""
appear_6367,0.7124,0.937,High Recall,Tagged Variant,"Displays as: ""appear_6367"""
against_1498,0.9802,0.8021,Core Anchor,Tagged Variant,"Displays as: ""against_1498"""
break833,0.9561,0.7074,High Influence,Tagged Variant,"Displays as: ""break833"""
both66,0.7823,0.8585,High Recall,Tagged Variant,"Displays as: ""both66"""
avoid_6908,0.8481,0.9051,High Influence,Tagged Variant,"Displays as: ""avoid_6908"""
activity,0.711,0.6198,Peripheral,Natural,"Displays as: ""activity"""
almost_8268,0.6752,0.6326,Peripheral,Tagged Variant,"Displays as: ""almost_8268"""
awesome544,0.7855,0.5702,Peripheral,Tagged Variant,"Displays as: ""awesome544"""
accept_4327,0.7413,0.9767,High Recall,Tagged Variant,"Displays as: ""accept_4327"""
become_8439,0.8335,0.788,High Influence,Tagged Variant,"Displays as: ""become_8439"""
both12,0.6311,0.3583,Peripheral,Tagged Variant,"Displays as: ""both12"""
arrive480,0.9898,0.9041,Core Anchor,Tagged Variant,"Displays as: ""arrive480"""
avoid196,0.9945,0.6364,High Influence,Tagged Variant,"Displays as: ""avoid196"""
analysis_7713,0.8793,0.3481,High Influence,Tagged Variant,"Displays as: ""analysis_7713"""
article_4546,0.8144,0.6848,High Influence,Tagged Variant,"Displays as: ""article_4546"""
because835,0.7238,0.592,Peripheral,Tagged Variant,"Displays as: ""because835"""
attack251,0.9255,0.9144,Core Anchor,Tagged Variant,"Displays as: ""attack251"""
buy,0.8739,0.4428,High Influence,Natural,"Displays as: ""buy"""
behind_4001,0.665,0.8785,High Recall,Tagged Variant,"Displays as: ""behind_4001"""
almost_3574,0.9644,0.6904,High Influence,Tagged Variant,"Displays as: ""almost_3574"""
care176,0.929,0.3382,High Influence,Tagged Variant,"Displays as: ""care176"""
believe_7004,0.9799,0.9803,Core Anchor,Tagged Variant,"Displays as: ""believe_7004"""
best,0.8903,0.6588,High Influence,Natural,"Displays as: ""best"""
cancel,0.8454,0.5036,High Influence,Natural,"Displays as: ""cancel"""
attitude496,0.7673,0.6286,Peripheral,Tagged Variant,"Displays as: ""attitude496"""
around533,0.9731,0.9005,Core Anchor,Tagged Variant,"Displays as: ""around533"""
bill37,0.9464,0.5134,High Influence,Tagged Variant,"Displays as: ""bill37"""
although_8217,0.6181,0.4349,Peripheral,Tagged Variant,"Displays as: ""although_8217"""
blue_2425,0.6105,0.3903,Peripheral,Tagged Variant,"Displays as: ""blue_2425"""
agency_6563,0.7506,0.5085,Peripheral,Tagged Variant,"Displays as: ""agency_6563"""
away738,0.9242,0.846,Core Anchor,Tagged Variant,"Displays as: ""away738"""
brain_7189,0.9949,0.6301,High Influence,Tagged Variant,"Displays as: ""brain_7189"""
background239,0.6602,0.4592,Peripheral,Tagged Variant,"Displays as: ""background239"""
become_9919,0.8377,0.4163,High Influence,Tagged Variant,"Displays as: ""become_9919"""
active_1116,0.7524,0.5329,Peripheral,Tagged Variant,"Displays as: ""active_1116"""
access_9068,0.988,0.9579,Core Anchor,Tagged Variant,"Displays as: ""access_9068"""
beyond415,0.9368,0.5401,High Influence,Tagged Variant,"Displays as: ""beyond415"""
aspect471,0.9353,0.9917,Core Anchor,Tagged Variant,"Displays as: ""aspect471"""
active402,0.7875,0.6397,Peripheral,Tagged Variant,"Displays as: ""active402"""
answer_4465,0.7659,0.4254,Peripheral,Tagged Variant,"Displays as: ""answer_4465"""
anger246,0.7094,0.9238,High Recall,Tagged Variant,"Displays as: ""anger246"""
ask_2001,0.6226,0.6222,Peripheral,Tagged Variant,"Displays as: ""ask_2001"""
basis_1061,0.9459,0.7968,High Influence,Tagged Variant,"Displays as: ""basis_1061"""
although444,0.9252,0.9886,Core Anchor,Tagged Variant,"Displays as: ""although444"""
available837,0.9999,0.3351,High Influence,Tagged Variant,"Displays as: ""available837"""
aspect377,0.9987,0.3677,High Influence,Tagged Variant,"Displays as: ""aspect377"""
affect_2015,0.8222,0.8043,High Influence,Tagged Variant,"Displays as: ""affect_2015"""
bad187,0.9076,0.4973,High Influence,Tagged Variant,"Displays as: ""bad187"""
better_7784,0.9779,0.429,High Influence,Tagged Variant,"Displays as: ""better_7784"""
bit_9425,0.9399,0.3276,High Influence,Tagged Variant,"Displays as: ""bit_9425"""
analysis_2829,0.6989,0.3153,Peripheral,Tagged Variant,"Displays as: ""analysis_2829"""
bring320,0.7802,0.8421,High Recall,Tagged Variant,"Displays as: ""bring320"""
affect_1419,0.6517,0.3941,Peripheral,Tagged Variant,"Displays as: ""affect_1419"""
accept_4505,0.9816,0.6274,High Influence,Tagged Variant,"Displays as: ""accept_4505"""
affect811,0.8425,0.7241,High Influence,Tagged Variant,"Displays as: ""affect811"""
case_6139,0.6915,0.5998,Peripheral,Tagged Variant,"Displays as: ""case_6139"""
bad_1415,0.8687,0.319,High Influence,Tagged Variant,"Displays as: ""bad_1415"""
anger985,0.8473,0.8485,High Influence,Tagged Variant,"Displays as: ""anger985"""
become18,0.7433,0.3074,Peripheral,Tagged Variant,"Displays as: ""become18"""
ahead_6709,0.6454,0.8333,High Recall,Tagged Variant,"Displays as: ""ahead_6709"""
available218,0.8686,0.9253,High Influence,Tagged Variant,"Displays as: ""available218"""
area255,0.8081,0.603,High Influence,Tagged Variant,"Displays as: ""area255"""
already214,0.9089,0.6749,High Influence,Tagged Variant,"Displays as: ""already214"""
career_4044,0.8081,0.6339,High Influence,Tagged Variant,"Displays as: ""career_4044"""
about540,0.9409,0.5724,High Influence,Tagged Variant,"Displays as: ""about540"""
buy_9635,0.8208,0.9212,High Influence,Tagged Variant,"Displays as: ""buy_9635"""
case_5238,0.8244,0.9258,High Influence,Tagged Variant,"Displays as: ""case_5238"""
beat_7584,0.9507,0.5351,High Influence,Tagged Variant,"Displays as: ""beat_7584"""
boy256,0.7614,0.7305,Peripheral,Tagged Variant,"Displays as: ""boy256"""
border_3040,0.6536,0.9488,High Recall,Tagged Variant,"Displays as: ""border_3040"""
building979,0.6115,0.9734,High Recall,Tagged Variant,"Displays as: ""building979"""
ahead_2363,0.9021,0.6563,High Influence,Tagged Variant,"Displays as: ""ahead_2363"""
believe683,0.8481,0.617,High Influence,Tagged Variant,"Displays as: ""believe683"""
arrive722,0.8816,0.4951,High Influence,Tagged Variant,"Displays as: ""arrive722"""
benefit_1822,0.6852,0.9712,High Recall,Tagged Variant,"Displays as: ""benefit_1822"""
border466,0.6545,0.4,Peripheral,Tagged Variant,"Displays as: ""border466"""
behind,0.6058,0.7059,Peripheral,Natural,"Displays as: ""behind"""
another,0.7402,0.4978,Peripheral,Natural,"Displays as: ""another"""
box288,0.836,0.4953,High Influence,Tagged Variant,"Displays as: ""box288"""
balance,0.7569,0.5835,Peripheral,Natural,"Displays as: ""balance"""
another_2690,0.775,0.9992,High Recall,Tagged Variant,"Displays as: ""another_2690"""
